x_coordinate,y_coordinate,timestamp,swipe_id
859, 1570, 21610.201538, 29
861, 1580, 21610.207056, 29
863, 1589, 21610.212463, 29
865, 1597, 21610.217872, 29
867, 1603, 21610.223361, 29
868, 1610, 21610.228750, 29
869, 1614, 21610.234180, 29
870, 1619, 21610.239814, 29
871, 1624, 21610.245267, 29
872, 1627, 21610.250720, 29
873, 1630, 21610.256215, 29
874, 1634, 21610.261554, 29
875, 1639, 21610.277903, 29
876, 1645, 21610.337632, 29
875, 1645, 21610.440934, 29
874, 1644, 21610.462780, 29
871, 1641, 21610.500581, 29
870, 1639, 21610.522519, 29
869, 1636, 21610.555015, 29
868, 1634, 21610.571278, 29
867, 1631, 21610.576943, 29
865, 1625, 21610.582219, 29
863, 1616, 21610.587584, 29
859, 1606, 21610.593073, 29
855, 1592, 21610.598479, 29
848, 1572, 21610.603918, 29
839, 1546, 21610.609510, 29
829, 1515, 21610.614870, 29
818, 1481, 21610.620231, 29
808, 1444, 21610.625805, 29
799, 1404, 21610.631104, 29
791, 1366, 21610.636617, 29
785, 1328, 21610.642090, 29
781, 1297, 21610.647457, 29
778, 1266, 21610.652849, 29
775, 1229, 21610.658401, 29
774, 1182, 21610.663674, 29
751, 1240, 21611.246191, 30
752, 1249, 21611.300056, 30
756, 1260, 21611.305424, 30
757, 1268, 21611.310991, 30
761, 1277, 21611.316304, 30
764, 1288, 21611.321970, 30
767, 1299, 21611.327182, 30
770, 1309, 21611.332687, 30
772, 1319, 21611.338076, 30
774, 1330, 21611.343527, 30
776, 1337, 21611.348892, 30
777, 1344, 21611.354444, 30
778, 1350, 21611.359750, 30
779, 1356, 21611.365271, 30
780, 1362, 21611.370617, 30
781, 1368, 21611.376128, 30
782, 1373, 21611.381480, 30
783, 1376, 21611.386930, 30
785, 1380, 21611.392408, 30
786, 1383, 21611.397847, 30
787, 1385, 21611.403218, 30
788, 1389, 21611.414196, 30
789, 1392, 21611.430650, 30
790, 1395, 21611.446850, 30
791, 1397, 21611.468544, 30
792, 1399, 21611.495779, 30
793, 1400, 21611.512115, 30
798, 1406, 21611.555608, 30
799, 1408, 21611.566464, 30
800, 1410, 21611.577402, 30
801, 1413, 21611.599061, 30
802, 1412, 21611.740887, 30
804, 1403, 21611.746018, 30
806, 1384, 21611.751586, 30
809, 1360, 21611.756954, 30
812, 1329, 21611.762319, 30
813, 1273, 21611.773245, 30
816, 1241, 21611.779169, 30
817, 1216, 21611.784183, 30
819, 1162, 21611.795020, 30
823, 1122, 21611.800425, 30
865, 1603, 21612.529142, 31
858, 1592, 21612.577943, 31
847, 1571, 21612.583455, 31
840, 1553, 21612.589108, 31
831, 1526, 21612.594276, 31
824, 1501, 21612.599770, 31
817, 1476, 21612.605140, 31
807, 1443, 21612.610493, 31
801, 1422, 21612.615912, 31
795, 1391, 21612.621383, 31
790, 1366, 21612.626828, 31
786, 1347, 21612.632322, 31
781, 1322, 21612.637794, 31
776, 1300, 21612.643138, 31
773, 1281, 21612.648708, 31
770, 1250, 21612.654065, 31
769, 1225, 21612.659526, 31
770, 1182, 21612.664961, 31
885, 1540, 21613.469921, 32
878, 1523, 21613.502311, 32
871, 1504, 21613.507768, 32
863, 1479, 21613.513227, 32
858, 1455, 21613.518635, 32
853, 1431, 21613.524096, 32
847, 1403, 21613.529552, 32
842, 1377, 21613.535132, 32
838, 1356, 21613.540523, 32
832, 1331, 21613.545900, 32
830, 1313, 21613.551336, 32
828, 1292, 21613.556925, 32
825, 1263, 21613.562268, 32
824, 1243, 21613.567644, 32
